Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
3034,6762,6762,65782,51679,0.76,5170,66292,57528,0.22,1498,2236,1595,6762,68498,54357,6762,2692,1012,0.09,587,126506,30780,0.08,543,105686,10981,0.77,5225,18511,11691,7548,177486,79166
3036,3809,3809,74678,54468,0.74,2801,69828,58597,0.22,848,1324,515,3809,78315,57640,3809,3449,1118,0.08,300,150417,44925,0.08,297,115416,15275,0.78,2959,23180,13569,4230,295726,112128
3037,29562,29562,59885,50640,0.84,24845,60608,54124,0.16,4809,-1731,-1301,29562,62350,52720,29562,2425,1090,0.09,2680,75022,30159,0.08,2512,54405,12136,0.80,23506,14911,10089,31535,112243,53372
3038,16283,16283,61606,50256,0.80,13037,62110,54943,0.21,3402,948,282,16283,64221,52556,16283,2592,1005,0.09,1394,98662,32500,0.08,1342,76416,11784,0.78,12676,16287,10881,18095,170183,76898
3039,10646,10646,84341,62180,0.81,8665,80667,65881,0.18,1904,931,374,10646,87882,65318,10646,3504,1378,0.09,1007,100689,25948,0.09,922,70803,9374,0.81,8638,26676,15546,11816,232118,82507
3040,17748,17748,89822,60794,0.79,13975,78568,62144,0.19,3355,1032,419,17748,93832,64020,17748,3892,1310,0.09,1617,134841,30589,0.09,1524,99220,9568,0.80,14254,30069,15418,19611,269095,94883
3041,8263,8263,82433,59610,0.78,6472,77085,64128,0.20,1642,1012,424,8263,85938,62871,8263,3476,1303,0.08,675,257583,28340,0.08,633,240841,10072,0.79,6556,26564,15082,9073,256235,113739
3042,9993,9993,70869,58114,0.81,8078,70634,63510,0.18,1804,400,-113,9993,73962,60870,9993,3027,1317,0.09,893,85521,33545,0.09,850,60919,11914,0.81,8057,19774,13595,11280,178712,89859
3043,9932,9932,58598,50250,0.79,7890,61270,56084,0.14,1418,43,-94,9932,61025,52608,9932,2398,1040,0.10,965,72681,31985,0.09,929,50049,12177,0.78,7732,14589,10563,11429,145574,69603
3044,17212,17212,71409,58926,0.84,14402,71624,63568,0.17,2994,915,169,17212,74364,61754,17212,2918,1365,0.11,1812,71662,25591,0.10,1704,50060,9317,0.82,14156,19496,13550,18968,159107,74743
3046,21246,21246,59346,49646,0.82,17472,61197,54488,0.12,2594,445,-200,21246,61578,51628,21246,2219,1003,0.13,2763,55361,24851,0.12,2534,36766,9166,0.78,16602,14954,10118,22877,106260,41008
3047,9484,9484,44038,37531,0.75,7071,45411,40918,0.06,610,355,-154,9484,45611,38970,9484,1561,438,0.19,1787,51664,28514,0.17,1657,33422,11358,0.70,6619,9341,5656,9851,55790,13533
3048,7566,7566,44753,38472,0.74,5577,46427,43972,0.07,557,162,428,7566,46374,39872,7566,1599,450,0.16,1218,68615,33024,0.15,1136,48823,13762,0.70,5298,9626,6425,7827,59265,17204
3049,5769,5769,60602,51350,0.83,4768,62170,56247,0.15,855,-1047,-691,5769,63326,53460,5769,2712,1162,0.10,556,70675,32090,0.09,529,50335,13039,0.79,4556,15349,10592,6435,148059,70836
3051,9199,9199,69941,50483,0.83,7647,67761,54999,0.13,1217,365,260,9199,72797,52946,9199,2737,974,0.12,1138,76955,23766,0.11,1020,45489,8732,0.77,7074,21326,11862,10737,130804,28335
3052,3734,3734,73644,44846,0.81,3006,64233,46792,0.12,456,2485,982,3734,76777,47084,3734,3073,785,0.13,483,396365,22571,0.12,436,402383,7158,0.72,2673,26808,11682,4265,213969,25431
3053,9772,9772,56977,37068,0.80,7823,53385,37183,0.09,882,2459,2093,9772,59606,38680,9772,2520,430,0.12,1206,63097,19416,0.10,995,37489,6875,0.67,6520,18750,8706,11223,133785,12441
3054,5687,5687,97779,57855,0.77,4375,81060,60538,0.15,881,3372,2570,5687,102310,61294,5687,4422,1284,0.14,792,96386,28290,0.13,725,45384,9242,0.81,4620,33482,14249,6641,294448,64136
3055,9537,9537,70608,55361,0.85,8103,68869,59045,0.14,1302,1707,534,9537,73359,57632,9537,2725,1198,0.12,1185,63751,20900,0.11,1085,40448,6932,0.82,7826,19484,12149,10902,155935,52704
3056,17107,17107,73809,58595,0.86,14649,70779,61392,0.13,2214,2108,1078,17107,76696,60977,17107,2835,1275,0.14,2337,65049,22300,0.12,2135,36168,7800,0.84,14301,20416,13100,20030,137908,49173
3057,9288,9288,75974,62511,0.87,8103,72891,65145,0.12,1133,2105,1035,9288,78867,65146,9288,2860,1428,0.13,1170,58194,20391,0.12,1070,34012,7481,0.86,7973,20542,13891,10617,125960,50841
3058,21631,21631,68950,54783,0.83,17963,68435,59077,0.16,3389,2021,814,21631,71680,57279,21631,2677,1203,0.12,2682,69686,25913,0.12,2499,46075,8868,0.81,17573,18771,12159,24423,141772,63773
3059,12470,12470,66909,53316,0.80,9957,64841,57246,0.19,2311,-142,-459,12470,69912,55989,12470,2907,1199,0.10,1264,116838,36976,0.10,1205,93255,14579,0.80,9959,18422,11600,12797,151024,58233
3060,7346,7346,53380,43300,0.77,5650,55496,49076,0.13,923,1540,596,7346,55420,45000,7346,2013,732,0.17,1232,65466,27900,0.16,1150,48598,11294,0.73,5379,13554,8456,7590,91335,32353
3061,2244,2244,49030,39402,0.70,1567,48299,45413,0.10,220,1716,620,2244,51004,41002,2244,1916,422,0.17,386,137530,38295,0.16,354,127462,18582,0.71,1588,12062,6519,2363,77050,22286
3062,96,96,127624,78062,0.76,73,66387,54900,0.14,13,4226,381,96,130897,80252,96,3272,324,0.05,5,927949,72255,0.05,5,881409,26652,0.91,87,42622,17333,96,291570,94350
3063,386,386,75260,52009,0.78,302,67930,57602,0.19,73,6266,-9,386,78316,54940,386,3043,831,0.08,30,52567,18725,0.07,27,52282,10410,0.76,294,24588,13134,410,244151,94482
3064,58391,58391,53708,47012,0.82,47606,55580,51418,0.11,6281,-2175,-1653,58391,55769,48773,58391,2042,872,0.15,8516,56586,30222,0.14,7944,37816,11470,0.78,45438,12352,8585,57428,69080,26641
3065,6961,6961,94158,63555,0.82,5674,83847,67632,0.15,1017,1793,1353,6961,98249,67113,6961,4051,1500,0.15,1017,103362,29250,0.14,943,57525,10476,0.84,5848,30531,15487,8379,204030,49290
3066,6272,6272,83545,65866,0.85,5352,77893,69504,0.12,767,1132,364,6272,86693,68976,6272,3106,1452,0.13,845,78005,26235,0.12,765,50136,10515,0.86,5363,24204,15320,7362,127893,43359
3067,6546,6546,81450,65278,0.85,5595,76860,67517,0.13,849,260,147,6546,84715,68087,6546,3224,1459,0.12,777,193186,24557,0.11,702,172232,8819,0.85,5560,23592,14928,7528,156202,47865
3068,12507,12507,101058,66912,0.80,10053,87886,69363,0.16,2057,2454,1671,12507,126988,70488,12507,25857,1589,0.15,1865,137009,31869,0.14,1773,86587,10260,0.84,10459,34040,16590,14737,255628,77577
3070,16301,16301,91990,64483,0.83,13568,82045,66760,0.17,2692,2724,1242,16301,96627,67499,16301,4590,1474,0.14,2330,87190,27046,0.13,2140,54154,8638,0.84,13765,29202,15409,18907,201593,81260
3071,11708,11708,76016,59464,0.84,9867,73276,62685,0.14,1667,2278,1258,11708,78946,62104,11708,2896,1300,0.14,1585,54124,24918,0.13,1484,27721,8768,0.84,9820,21326,13314,13469,154647,72716
3072,20879,20879,66785,53962,0.83,17409,66112,57675,0.15,3094,1819,840,20879,69304,56139,20879,2466,1074,0.13,2662,64918,25170,0.12,2452,42581,8802,0.82,17046,17590,11516,23616,129463,57274
3073,28428,28428,58975,49818,0.81,23045,60222,54093,0.14,3918,3049,1250,28428,61202,51673,28428,2199,912,0.13,3574,54966,26422,0.12,3347,35196,8822,0.79,22327,14656,10045,31620,112362,49550
3074,10343,10343,50390,43705,0.78,8116,51053,46964,0.13,1306,1722,858,10343,52250,45114,10343,1840,628,0.13,1375,59553,29040,0.12,1286,38803,10594,0.74,7700,11600,7338,11357,83976,32012
3075,11593,11593,51536,44258,0.80,9228,52821,48362,0.14,1623,1340,427,11593,53486,45956,11593,1915,680,0.13,1520,65900,29152,0.12,1407,48573,11466,0.75,8736,11899,7749,12581,83606,34257
3076,18441,18441,55307,48049,0.82,15091,56061,51727,0.13,2415,-846,-838,18441,57409,49840,18441,2074,868,0.12,2168,58369,31126,0.11,2013,38743,11562,0.78,14469,13042,8717,19558,91672,40223
3078,7705,7705,94576,63833,0.81,6211,83595,66638,0.19,1428,1457,1334,7705,98691,66994,7705,4027,1466,0.13,1017,134854,26197,0.12,935,97971,9175,0.83,6362,31609,15557,8712,246324,96872
3079,11272,11272,100425,62884,0.74,8395,86248,66173,0.20,2288,1431,1055,11272,104884,66446,11272,4326,1335,0.10,1168,265022,31020,0.10,1076,228645,10454,0.79,8906,36597,17010,12329,333538,118918
3081,8016,8016,60392,50829,0.82,6545,62396,56625,0.12,980,-867,-502,8016,63508,53038,8016,3066,982,0.13,1076,50210,27900,0.13,1018,28826,10051,0.80,6381,15342,10573,9061,107881,43916
3082,17315,17315,57341,49103,0.82,14166,58548,53200,0.16,2834,283,16,17315,59640,51005,17315,2274,950,0.10,1674,62463,30264,0.09,1561,40496,10607,0.79,13610,13917,9448,19164,130846,58545
3083,18595,18595,57410,46060,0.79,14707,58217,50929,0.17,3173,357,-90,18595,59679,47892,18595,2241,765,0.11,2037,70524,24624,0.10,1863,50740,9314,0.74,13772,15437,9699,20573,133179,50354
3084,16625,16625,81232,58123,0.75,12480,79328,65000,0.20,3277,1549,405,16625,84812,60966,16625,3499,1217,0.10,1605,106590,28281,0.09,1504,65264,9195,0.77,12833,26944,15258,18184,283943,110850
3085,8399,8399,71375,56041,0.79,6640,74104,63941,0.17,1443,-156,-137,8399,74538,58766,8399,3115,1204,0.09,735,69222,23997,0.08,673,46673,8513,0.78,6541,21075,13890,9214,208912,102903
3086,65,65,87368,65922,0.80,52,68834,51271,0.09,6,4426,2757,65,90504,66933,65,3136,1018,0.15,10,71362,40554,0.12,8,39431,15056,0.82,53,19995,13207,71,234235,87308
3087,5351,5351,66131,55550,0.81,4319,68824,61908,0.15,820,882,-92,5351,68651,57741,5351,2506,1132,0.09,458,59644,24692,0.08,428,36026,9542,0.80,4256,17825,12674,6124,182771,92069
3088,16724,16724,67982,55856,0.79,13282,70910,62618,0.15,2584,175,-100,16724,70817,58600,16724,2811,1158,0.09,1519,106421,30359,0.09,1430,84565,9942,0.79,13138,19090,13404,18920,207321,107879
3089,8089,8089,73566,57510,0.83,6691,70314,61049,0.15,1226,-494,-576,8089,76775,60536,8089,3189,1375,0.08,686,70432,30549,0.08,659,41539,10892,0.81,6536,21327,13638,8941,213575,101530
3090,1707,1707,87073,59247,0.77,1317,71743,55328,0.22,369,1090,227,1707,91063,62754,1707,3794,940,0.08,144,120372,35638,0.08,135,90636,15062,0.80,1369,28790,14854,1808,275526,118583
3091,1110,1110,89026,54370,0.71,785,65871,46932,0.21,228,3399,1822,1110,92527,57262,1110,3412,580,0.10,107,110666,52541,0.09,105,84728,14506,0.78,870,31330,13304,1188,304957,109943
3093,2513,2513,89710,60283,0.72,1817,77054,62937,0.18,454,3082,301,2513,93520,63482,2513,3706,1004,0.09,227,84117,28709,0.08,213,51424,10310,0.77,1938,31911,16817,2786,350226,126062
3094,5635,5635,69912,56362,0.78,4389,72001,63619,0.15,833,442,-74,5635,72909,59570,5635,2944,1180,0.10,547,56062,29480,0.09,529,27621,8649,0.79,4438,19963,13565,6461,218539,117984
3095,18367,18367,78608,57137,0.77,14082,76740,62514,0.17,3125,125,-130,18367,82063,60467,18367,3424,1185,0.11,1944,77376,31235,0.10,1822,46462,9750,0.78,14304,25178,14836,20667,273659,130327
3096,1247,1247,65055,49846,0.80,999,65178,53524,0.12,152,420,-186,1247,68192,52504,1247,3127,1230,0.10,125,55807,29936,0.09,118,34846,11364,0.79,981,17751,10988,1395,219753,94525
3097,978,978,98863,54050,0.66,647,77101,56928,0.19,189,1632,1330,978,102760,57118,978,3697,824,0.12,120,86898,31690,0.12,116,59360,10077,0.77,753,38044,13660,1086,339222,125967
3099,3106,3106,65242,51150,0.76,2370,64926,55831,0.14,447,1033,604,3106,68364,54151,3106,3048,969,0.13,418,67049,32618,0.13,392,46129,13391,0.76,2375,18562,12058,3549,226425,100585
3101,16086,16086,117893,60722,0.68,10947,93599,62802,0.21,3387,1332,1274,16086,123703,65232,16086,5480,1191,0.11,1830,322434,40520,0.11,1699,243800,13594,0.77,12359,48097,18062,17148,454226,109216
3102,4318,4318,100281,59404,0.72,3091,87010,60685,0.23,972,2428,1462,4318,105471,62558,4318,5113,1158,0.11,494,179887,36765,0.11,455,124142,12905,0.77,3325,38115,16743,4665,314256,116813
3103,10560,10560,89428,47899,0.63,6611,80839,54649,0.25,2689,1090,1176,10560,93894,51149,10560,4317,720,0.10,1038,296583,30984,0.09,946,256012,11784,0.71,7456,36140,14878,10593,398944,92807
3104,13529,13529,89710,49713,0.66,8979,77744,56156,0.27,3603,1125,637,13529,94217,52835,13529,4326,782,0.10,1302,428741,38376,0.09,1193,399955,13809,0.72,9744,35611,14436,13620,313948,94014
3105,6882,6882,69816,49376,0.70,4822,69616,57271,0.24,1643,3542,1877,6882,72726,51613,6882,2823,704,0.10,702,93504,31340,0.10,657,64693,11351,0.74,5104,22282,12330,7243,224914,79312
3106,10828,10828,78432,47732,0.66,7160,72673,54128,0.25,2695,1772,910,10828,81988,50475,10828,3437,675,0.09,1001,203723,39847,0.08,917,176382,13368,0.72,7826,28515,13042,11157,314540,92159
3107,8312,8312,68598,47740,0.70,5849,70722,56822,0.23,1879,1232,905,8312,71488,50246,8312,2765,804,0.10,854,134790,34060,0.10,803,109137,11534,0.73,6056,22093,12467,9002,222353,90227
3108,15691,15691,60628,42100,0.68,10684,62935,49910,0.21,3320,1784,736,15691,63441,44197,15691,2730,544,0.11,1686,161656,29532,0.10,1531,144881,9882,0.69,10868,18958,9779,15975,188939,47086
3109,19002,19002,60103,43390,0.69,13184,65359,52720,0.23,4407,662,223,19002,62741,45184,19002,2517,624,0.10,1969,167138,27269,0.09,1804,151386,9304,0.70,13235,18814,10688,19306,187591,62126
3111,7929,7929,78394,48425,0.70,5559,73555,54810,0.21,1651,968,594,7929,82092,51323,7929,3617,792,0.10,760,93017,29888,0.09,707,61693,9491,0.73,5779,28209,13461,8444,305831,94637
3113,5478,5478,84693,56078,0.72,3954,76580,58412,0.18,975,560,174,5478,88585,59693,5478,3736,973,0.11,627,87797,36150,0.11,595,50048,10427,0.77,4209,29007,16015,6215,295989,128533
3114,2561,2561,97359,57658,0.72,1833,82641,55636,0.20,515,768,-45,2561,102111,61423,2561,4644,850,0.09,235,120532,30909,0.08,214,85324,13584,0.76,1952,36845,17025,2764,377514,140672
3115,2672,2672,98259,55734,0.74,1970,74848,55680,0.18,468,1074,-24,2672,102534,60140,2672,4040,865,0.09,237,99102,34674,0.09,228,69567,10289,0.79,2100,36347,14404,2865,313674,123628
3116,7226,7226,65035,52406,0.80,5786,65499,56330,0.13,948,361,-310,7226,67983,54830,7226,2694,889,0.09,679,64186,27300,0.09,659,39206,9051,0.78,5622,18137,11414,7823,184105,83071
3121,21238,21238,93489,69616,0.85,18091,84648,71822,0.15,3222,899,318,21238,97820,72864,21238,4290,1580,0.10,2196,108100,27342,0.09,1987,73569,8756,0.86,18323,28856,16390,24721,197426,59764
3122,15618,15618,127443,63685,0.76,11851,88528,63648,0.16,2446,1545,1214,15618,133821,67290,15618,6274,1342,0.11,1698,158655,31710,0.10,1563,74168,10699,0.79,12359,52548,17216,17288,378741,74395
3123,9924,9924,109070,64254,0.76,7504,88160,65244,0.17,1708,269,594,9924,113956,68134,9924,4799,1420,0.10,993,142745,27500,0.09,898,85373,10422,0.80,7929,41018,17149,10734,342631,80757
3124,15065,15065,104056,57271,0.69,10329,92093,63049,0.22,3270,364,740,15065,109302,61124,15065,5027,1178,0.10,1496,218098,32349,0.09,1378,158861,10058,0.75,11299,41657,17333,15911,416343,121942
3125,9218,9218,60685,42212,0.74,6842,62932,48456,0.18,1618,-725,-504,9218,63313,44134,9218,2560,658,0.12,1081,87442,21628,0.10,963,68982,7459,0.70,6442,19128,10100,9952,151324,34108
3126,5411,5411,126767,61874,0.62,3370,102631,62327,0.23,1244,-387,325,5411,133531,66123,5411,6652,1152,0.10,558,288916,46386,0.10,529,201163,13640,0.74,4026,55780,21656,5579,583722,172588
3127,12619,12619,101420,58109,0.71,9016,91198,64712,0.21,2593,-216,-40,12619,105738,61988,12619,4261,1197,0.10,1238,145386,31730,0.09,1134,100088,9529,0.75,9513,39933,17548,13574,350449,131213
3128,13915,13915,55495,39275,0.75,10418,58856,45372,0.16,2240,-207,68,13915,57923,40867,13915,2301,487,0.11,1538,217592,21288,0.10,1354,217630,6748,0.67,9372,17306,8877,14710,139409,25299
3129,10878,10878,67348,47629,0.74,8067,69876,55631,0.19,2104,-191,-174,10878,70273,49810,10878,2865,832,0.11,1227,72073,24500,0.10,1108,46902,7639,0.72,7866,21745,12060,11632,194419,69138
3130,20439,20439,71109,51114,0.75,15312,71530,58998,0.19,3804,28,-256,20439,74392,53562,20439,3205,992,0.10,2047,98573,27900,0.09,1842,72811,8888,0.74,15208,22758,12994,22036,223868,88984
3131,13911,13911,63188,49047,0.76,10598,67406,57074,0.18,2514,-11,-239,13911,65636,51282,13911,2420,916,0.10,1440,57531,25575,0.10,1330,35100,8010,0.74,10246,18567,12019,14928,165069,72337
3132,10614,10614,69328,52369,0.79,8386,70290,60169,0.17,1836,-90,-76,10614,72041,54792,10614,2659,1038,0.10,1054,81137,26709,0.09,978,56961,8628,0.77,8200,20665,12451,11595,188979,83627
3133,14079,14079,63534,46816,0.72,10113,67983,56147,0.23,3170,49,-229,14079,66237,49330,14079,2659,786,0.10,1355,102301,29138,0.09,1259,78571,9967,0.71,9994,19979,11940,15196,223896,87952
3134,21327,21327,68216,52265,0.79,16857,67880,57130,0.15,3163,-393,-276,21327,71008,54515,21327,2750,938,0.09,2019,72924,28240,0.09,1881,48516,8984,0.77,16468,20083,11939,23429,194178,81596
3135,12240,12240,65883,53068,0.80,9741,68328,59849,0.15,1815,-270,-351,12240,68585,55512,12240,2644,1090,0.10,1163,65474,26584,0.09,1090,42548,8398,0.78,9502,18527,12427,13774,190804,90908
3136,27779,27779,63564,51898,0.80,22253,65438,56840,0.13,3614,-550,-380,27779,66148,54210,27779,2553,968,0.09,2612,75585,29394,0.09,2469,52442,10446,0.78,21798,17029,11105,30808,170809,81000
3137,8740,8740,61163,52043,0.82,7161,60540,55571,0.10,911,411,-96,8740,63563,54226,8740,2382,900,0.09,749,134165,32727,0.08,721,111180,11766,0.80,6951,15596,10648,9872,147571,75618
3138,13757,13757,61332,52071,0.82,11338,62447,55864,0.12,1586,-575,-566,13757,63803,54129,13757,2445,917,0.09,1303,60814,30625,0.09,1225,35523,10960,0.80,10946,15543,10766,15374,144836,73214
3139,9003,9003,59662,50152,0.79,7092,57660,52490,0.11,1028,2071,463,9003,62481,52607,9003,2721,760,0.12,1049,87564,41567,0.11,1029,59651,17186,0.79,7111,15042,9765,10082,155176,70656
3140,10668,10668,62062,51645,0.80,8527,61826,55222,0.12,1259,736,0,10668,64641,53817,10668,2548,848,0.09,988,75737,27900,0.09,936,51369,10432,0.78,8322,16461,10789,11740,158771,78583
3141,18177,18177,117464,66346,0.79,14432,85951,68125,0.14,2497,1608,369,18177,123915,69704,18177,6342,1491,0.11,1975,131395,28243,0.10,1855,73924,9369,0.83,15129,43950,16257,20834,311034,44840
3142,9700,9700,222967,72115,0.59,5698,108170,63121,0.18,1792,5746,2291,9700,234087,77544,9700,10815,1370,0.11,1025,502350,39297,0.10,959,399843,16275,0.79,7678,107687,22196,10130,1000386,119858
3143,6589,6589,127671,68316,0.73,4796,92307,69058,0.15,988,2905,1100,6589,133442,72741,6589,5475,1516,0.11,746,162413,27934,0.10,689,93207,9464,0.81,5329,50763,18696,7238,439184,89537
3144,7708,7708,143674,69718,0.66,5062,104629,66424,0.17,1327,2377,989,7708,151393,74908,7708,7526,1482,0.11,830,206378,44534,0.10,789,103824,14554,0.80,6149,60638,21128,8204,579158,139421
3145,15226,15226,105316,58042,0.74,11322,87578,59999,0.19,2896,929,350,15226,109861,60929,15226,4460,1223,0.11,1660,151422,28241,0.10,1531,94633,8459,0.77,11682,41333,16406,16634,318959,92792
3146,16785,16785,109044,64870,0.74,12392,95391,67856,0.20,3286,238,524,16785,113792,68518,16785,4667,1392,0.09,1581,177465,33645,0.09,1481,112023,10393,0.78,13107,42086,18793,18087,354967,125562
3147,9128,9128,86615,57702,0.75,6867,83945,64019,0.21,1926,-231,16,9128,90328,60612,9128,3562,1148,0.10,886,128630,27954,0.09,813,94046,9803,0.76,6974,30373,16236,9958,246471,99460
3148,6087,6087,64801,50469,0.80,4877,65666,56214,0.21,1262,200,-304,6087,67566,53174,6087,2673,1013,0.12,756,93146,26279,0.11,692,71908,9866,0.77,4669,18043,11327,6525,123310,45319
3149,22392,22392,68306,47893,0.71,15929,70758,57416,0.25,5505,-22,-273,22392,71246,50284,22392,2857,820,0.10,2230,92081,25000,0.09,2030,65454,8375,0.72,16100,22407,12404,23326,220480,71571
3150,39350,39350,72259,43758,0.68,26643,66815,53759,0.26,10282,118,-43,39350,75299,45332,39350,2942,573,0.10,3821,183507,27696,0.09,3421,168983,8840,0.68,26873,27487,11568,40610,225751,66266
3151,6609,6609,55095,41553,0.72,4782,60560,50158,0.21,1384,22,-264,6609,57499,43446,6609,2330,600,0.11,757,64615,24967,0.10,679,45272,7805,0.69,4559,16053,9463,7115,163905,50440
3152,21695,21695,60614,47245,0.75,16373,64518,54682,0.22,4708,-801,-558,21695,63166,49500,21695,2512,785,0.10,2074,114937,27536,0.09,1891,94956,9708,0.73,15935,17452,10794,23309,176416,71779
3153,12609,12609,57892,50674,0.83,10450,59710,55067,0.12,1502,-629,-770,12609,60132,52669,12609,2208,871,0.09,1171,64815,27900,0.09,1097,42348,9211,0.79,10014,14063,9947,14224,127118,62496
3154,2675,2675,64408,53210,0.80,2153,63983,57567,0.13,348,120,112,2675,66849,55463,2675,2437,910,0.11,281,79310,32442,0.10,269,45738,12632,0.79,2118,17251,11812,3052,177901,95823
3155,13942,13942,57707,50572,0.82,11427,60214,55436,0.12,1630,-368,-643,13942,59886,52591,13942,2155,853,0.10,1354,79238,27900,0.09,1259,60947,9196,0.79,11022,13947,9964,15754,132366,66165
3156,23530,23530,64306,52464,0.82,19235,64273,56047,0.15,3452,-451,-482,23530,66906,54580,23530,2567,905,0.10,2246,90454,29020,0.09,2128,66540,10052,0.80,18710,17201,10961,26542,164520,79534
3158,4284,4284,63997,52666,0.81,3459,66148,58014,0.13,555,618,173,4284,66623,55168,4284,2550,963,0.12,496,54886,28110,0.11,463,31221,9163,0.79,3383,17083,11810,4924,177083,95192
3159,1598,1598,65727,53709,0.79,1260,66082,59280,0.15,232,307,406,1598,68364,55842,1598,2559,912,0.12,185,88628,36500,0.11,175,63433,11165,0.77,1238,18454,12358,1822,200142,96926
3160,5605,5605,66464,54248,0.81,4567,66659,58039,0.14,768,298,29,5605,69142,56737,5605,2628,965,0.12,663,93601,32204,0.11,633,68531,11416,0.81,4533,17704,11804,6519,172224,92548
3161,10985,10985,108786,61364,0.71,7752,77528,56520,0.17,1830,5049,2910,10985,114700,65358,10985,5579,1244,0.13,1441,272840,31136,0.12,1299,220611,10266,0.81,8849,40675,16159,11882,393950,66300
3162,11713,11713,90406,57994,0.71,8261,79803,58992,0.20,2305,4720,2086,11713,94697,61800,11713,4181,1085,0.13,1528,139253,32458,0.12,1392,103146,10978,0.78,9127,31703,15933,12507,324066,91180
3163,21428,21428,73241,55730,0.82,17497,72888,60616,0.16,3328,1334,452,21428,76031,58198,21428,2763,1179,0.11,2426,69817,23619,0.10,2214,44748,7110,0.79,17022,21691,13110,23551,168636,56945
3165,17829,17829,75075,56811,0.78,13985,76513,63241,0.21,3688,-114,-195,17829,78188,59638,17829,3016,1172,0.11,1921,89904,31100,0.10,1782,63312,10898,0.79,14049,22830,14110,19374,173521,87823
3166,15390,15390,66997,52232,0.82,12563,67790,56733,0.18,2808,1211,60,15390,69712,54530,15390,2653,1024,0.11,1700,114995,23528,0.10,1549,95659,8533,0.78,12070,18891,11638,16919,147416,55489
3167,5909,5909,62892,50520,0.80,4719,65838,57025,0.20,1180,246,-140,5909,65394,52456,5909,2469,918,0.11,650,69245,27236,0.11,627,47810,9685,0.78,4630,16797,11111,6523,138022,59604
3168,13009,13009,45466,35969,0.81,10568,46958,39552,0.11,1402,698,408,13009,47192,37584,13009,1701,405,0.16,2109,51935,18300,0.14,1843,41332,7383,0.66,8642,11787,6572,13892,62231,9172
3169,12009,12009,53542,45577,0.81,9748,55204,50196,0.16,1903,588,-99,12009,55438,47328,12009,1861,716,0.13,1578,53577,23786,0.12,1436,37112,8984,0.75,9020,13090,8616,13222,88926,31566
3170,11687,11687,62832,50238,0.78,9066,64526,56528,0.21,2410,-164,-346,11687,65400,52274,11687,2517,858,0.10,1227,80470,27650,0.10,1131,58524,11094,0.76,8921,17552,11084,12790,144341,62619
3171,12503,12503,45258,38681,0.80,9985,46437,42719,0.13,1662,1202,517,12503,47279,41233,12503,1985,430,0.13,1618,104121,27677,0.12,1494,91631,10442,0.72,8966,9953,5814,13537,60622,13603
3172,13366,13366,55027,44768,0.80,10638,56038,49240,0.16,2076,641,-48,13366,57429,47032,13366,2378,680,0.09,1255,76072,31475,0.09,1175,54955,12230,0.74,9951,14184,8268,14915,136354,48629
3173,17424,17424,57693,48029,0.82,14261,58571,52550,0.20,3532,-1349,-1013,17424,59978,50095,17424,2250,746,0.10,1729,139763,29167,0.09,1616,123723,11674,0.77,13478,14733,9235,18565,102279,42560
3174,22231,22231,47144,42782,0.82,18280,49144,46680,0.10,2250,-6,-386,22231,49126,44823,22231,1952,600,0.13,2820,57652,26674,0.12,2618,40641,10836,0.74,16523,10026,6868,24460,70573,20853
3175,27855,27855,50308,43792,0.76,21277,50891,47594,0.11,3077,954,-102,27855,52376,45500,27855,2035,538,0.17,4850,61810,33452,0.16,4547,40770,13272,0.76,21133,11259,6961,30147,79684,22662
3177,5866,5866,45732,42370,0.74,4358,47643,46258,0.07,420,-204,-310,5866,47423,43808,5866,1679,400,0.20,1165,59585,38931,0.19,1092,36445,14094,0.74,4368,9101,6278,6137,54953,16866
3178,21733,21733,63624,52722,0.81,17631,65695,58093,0.20,4274,-1217,-904,21733,66341,54970,21733,2677,962,0.09,1869,373403,32320,0.08,1751,368887,11273,0.78,17033,17175,11554,23526,169554,80337
3179,3812,3812,58826,48930,0.81,3095,60503,52499,0.15,590,-1492,-1211,3812,61145,50772,3812,2232,822,0.10,381,62733,27253,0.09,347,41211,9473,0.77,2931,15267,9766,4209,135078,63660
3180,4727,4727,57739,49658,0.78,3690,61770,55970,0.16,777,-109,-733,4727,60111,51661,4727,2328,874,0.10,450,76003,27245,0.09,425,53187,8124,0.75,3559,15114,10623,5246,158065,67958
3181,13811,13811,93145,66813,0.84,11568,84380,68551,0.14,1927,1132,465,13811,96988,69899,13811,3750,1548,0.12,1627,172167,23262,0.11,1486,143584,7524,0.86,11814,29192,15432,16378,180233,51481
3182,16328,16328,82548,59361,0.82,13460,75205,62538,0.12,2005,1512,598,16328,86831,62628,16328,4035,1452,0.14,2211,72180,25900,0.12,2021,39061,8292,0.84,13657,25059,13245,20884,173030,39711
